country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,,,,,,,,,,,,,,,,,45.2,44.7,44.7,41.4,42.1,42.1,43.6,44.5,47.1,46.6,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,47.4,46.2,46.2,47,47.4,47.2,47.2,47.2,47,46.2
Bolivia,22.4,22.4,22.4,22.4,24.4,24.4,20.2,35,39.1,39.1,39.1,40.2,41.3,41.9,41.9,41.9,41.9,41.9,41.9,41.9,42.5,42.5,42.5,42.5,42.5,42.5,41.9,41.2,41.9,43.8,43.8,39.7,39.7,39.7,40.6,40.1,40.1,39.5,41.3,41.9,42.5,42.5,42.5,43.1,43.6,45.7,47.5
Brazil,44.8,44.8,44.8,44.8,45.1,45.1,45.1,45.1,45.1,45.5,44.9,45.7,45.7,46,45.3,47.3,47.3,47,49.9,52.1,51,52,52,52,52,52,51.3,50,51,50,49.6,49.6,50,50,50.6,50.6,50.6,50,50,50,50,47.4,47.4,47.4,49.2,49.5,46.6
Barbados,64.3,64.3,64.3,64.3,64.3,64.3,64.3,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.8,64.2,64.2,64.2,67.4,70.3,70.3,72.8
Bhutan,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,60.5,60.5,60.5,60.5,64.9,65.8,65.8,65.8,66.7,66.7,70.8,70.8,70.8,70.8,70.8,70.1,70.1,70.1,67.6,67.6,67.6,67.6,67.6,65.2
Botswana,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.3,64.8,64.8,64.8,64.8,65.2,65.2,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,61.9,61.9,61.9,61.9,59.6,59.6,59.6,60.1,60.1,59,57.8,57.8,66,54.4
Central African Republic,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,28.6,29,30.5,31.1,33.8,33.8,29,29.3
Canada,72.5,72.5,72.5,72.5,72.5,77.1,77.1,77.1,77.1,78.2,80.3,80.3,81.4,81.4,81.4,81.4,81.4,81.4,81.4,79.2,79.2,79.2,79.2,79.2,79.2,79.2,78.8,78.1,78.1,78.1,78.8,78.8,84.5,84.5,84.5,86.1,86.1,86.1,89.2,89.2,89.2,89.2,89.2,89.2,87.8,84.6,84.6
Switzerland,81.5,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85,85,85,85,85,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,84.2,85,85,88,88,88,88,88,88,88
Chile,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.6,54.6,54.6,54.6,54.6,54.6,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.9,73.9,73.9,73.9,73.9,73.9,72.9,72.9,73.9,73.9,73.9,73.9,73.9,71.2,71.2,71.2,70,70,68.4,68.4,68.4,72.5,72.5,72.5,71.9
China,53.5,53.5,51.7,51.7,50.1,45.9,44.7,44.7,44.7,45.6,45.6,44.1,44.1,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,43.3,43.3,43.3,43.3,42.7,42.7,42.7,42.7,43.3,44.4,43.7,44.4,43.3,44.4,43.3,43.3,44.4,47,47,48.1,48.1,48.1,49.1,49.1,49.9,48.3
Cote d'Ivoire,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.8,26.4,26.4,26.4,26.4,26.4,40.4,40.4,41,40.9,35.4,35.4,35.1,34.3,34.4,34,36.9,37.5,35,35.4,34.8,34.1,34.1,34.1,34.8,34.8,34.1,38.8,41.1,40.3,40.3,40.8,40.8,40.2,39.9,38,33.4,32.3
Cameroon,45.7,45.7,45.7,45.7,45.7,38.5,37.9,34.6,36.9,36.8,33.6,32.1,31,31,31,27.6,25,25,18.6,18.6,18.6,18.6,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.6,18.6,18.6,18.1,18.6,18.1,17.7,17.7,17.7,16.9,17.3,16.5,15.8,14.5,19
"Congo, Dem. Rep.",18.5,18.5,18.5,18.5,18.5,9.65,9.65,9.65,9.65,8,8,8,8,8,8,12.8,12.8,12.8,12.8,15.6,15.6,15.6,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,18.2,18.2,18.2,18.2,17.1,17.1,18.2,11.1,11.1,9.98,9.98,4.45,4.45,18.7,22.7,21
"Congo, Rep.",23.1,23.1,23.1,22.1,20.7,20.7,20.7,22.5,22.5,22.5,23.4,23.4,23.4,23.4,23.4,20.2,36.4,40,41.6,41.6,41.6,41.6,29.1,29.2,29.2,29.7,29.7,29.6,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,28.4,28.4,28.4,28.4,28.4,29.1,29.1,29.1,28.6,28.6
Colombia,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,48.7,48.7,48.7,48.7,48.1,47.7,47.7,48.1,50,50,50,50.6,50.6,50.6,50,49.4,49.4,49.5,49.7,50.4,49.6,49.6,49.6,49.6,49.6,50.9,50.9,51.6,48.4,52.3
Comoros,52.2,49.4,49.4,49.4,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,37,37,37,37,37,37,37,37,37,37,39.7,41.2,41.2,41.2,41.2,42.5,39.8,39.8,39.8,39.8,39.8,39.8,39.8,38.9,38.9,38.9,38.9,34.3,31.5,32.8,27.1,27.1
Cape Verde,52.5,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57.6,57.6,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,59.8,58.9,58.9,58.9,59.8
Costa Rica,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.5,63.4,63.4,63.4,63.4,62.3,62.5,62.5,62.5,61.8,61.8,61.8,61.8,63.4,63.1,62.4,60,60.1,61.8,61.8,61.8
Cuba,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,40.1,40.1,40.1,40.1,40.1,39.3,40.1,32.9,32.9,32.9,32.9,32.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,32.9,31.9,31.9,31.9,31.7,36.5,33.1,36.5,36.5,36.5,36.5
Cyprus,60.7,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.7,61.7,61.7,61.7,61.7,61.7,61.7,62.3,62.7,62.7,62.7,62.7,62.7,62.3,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.8,61.8,61.1,60.5,60.5,60.5,59.9,59.9,59.5,59.5,59.5
Czech Republic,37.2,37.2,37.2,37.2,37.2,41.1,41.1,41.1,41.1,41.9,41.9,41.9,41.9,41.9,41.9,52.7,52.9,52.9,52.7,52.7,52.7,52.7,52.7,52.7,52.7,54.1,53.7,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,54.2,54.2,54.2,54.2,55.9,57.3,57.3,54.1,53.6,52,54.1,56.2
Germany,88.3,88.3,88.3,92.3,92.3,92.3,92.3,92.3,92.3,92.4,91.4,91.4,92.4,92.4,92.4,92.4,92.4,92.4,93.6,93.6,93.6,92.4,92.4,96.9,95.2,95.2,95.2,95.2,95.2,95.2,95.2,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,90.9,90.9,90.9,90.9
Djibouti,,,41.6,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,33.9,34.7,34.7,33.9
Denmark,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,100
Dominican Republic,15,15,15,15,28.5,28.5,28.5,28.5,28.5,29.3,29.3,29.3,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,30.3,30.3,30.3,30.3,30.2,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29,30.4,30.6,33,33,29.1,23.8,15.9,37.5,41
Algeria,53.9,53.9,53.9,50.5,48.3,45.2,45.2,45.2,45.2,45.7,46.3,46.3,46.3,46.3,47.7,47.2,47.7,44.7,43.4,43.4,43.4,43.4,42.5,42.5,41.7,37.3,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,37.3,37.3,37.3,37.3,37.3,39.1,38.9,35.9,40.2,39.7,39.2
