country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Haiti,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,26,26,26,21.9,21.9,21.9,21.9,21.9,24.4,24.4,24.4,24.4,25.1,27.9,27.3,27.3,27.3,25.5,25.5,25.5,25.5,24.9,26,26,26,26,26,25.6,24.9,26.3,26.3,26.3,26.3,26.3,21.2,23,29.5,29.5
Hungary,50.5,50.5,50.5,50.5,49.7,49.7,49.7,49.7,49.1,50,50,50,50.5,50.5,51.2,59.5,62.3,61.1,61.4,61.4,61.4,61.4,61.4,61.4,57.9,57.5,56.8,56.8,55.6,55.6,55.6,55.6,54.9,54.9,55.6,52.5,51.4,50.9,50.9,50.9,50.9,50.7,50.7,50.7,50.7,50.5,49.1
Indonesia,24.4,24.4,24.4,21.6,21.6,21.6,21.6,12.5,12.5,12.1,12.1,10.9,10.9,10.9,10.9,10.9,13.5,13.5,14,14,14,14,13.5,25.4,32.8,33.8,33.8,33.8,33.8,33.8,35.2,36.7,37.2,37.2,36.4,35.6,35.6,35.6,34.7,35.1,36,35.5,35.5,32.8,31.1,27.1,30.4
India,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.5,53.5,53.5,53.5,53.5,52.8,52.8,52.8,48.1,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.1,47.7,47.7,48.1,48.1,48.1,48.1,48.1,48.1,48.1,47.4,47.4,47.4,48.1,45.8,45.8,45.8,45.8,45.8,44.6,42.1
Ireland,70.8,70.8,70.8,70.8,68.8,67.9,67.9,67.9,67.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,69.7,69.7,69.7,69.7,73.1,71.9,74.2,74.5,74.5,74.5,74.9,74.9,74.5,74.9,74.9,74.9,74.9,74.9,74.9,76.1,76.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1
Iran,53.7,53.7,53.7,53.7,42.5,42.5,42.5,42.5,42.5,43,43,43,43,43,43,43,42.3,42.3,43,43.3,43.3,43.3,47.5,47.5,47.5,47.5,46.5,46.5,46.5,46.5,33.9,33.9,33.9,33.9,33.9,32.5,32.5,32.5,34.1,34.6,34.6,34.6,34,32.1,33,33.1,33.6
Iraq,32.2,32.2,29.1,29.1,28,24,24,24,24,24.4,25,25,25,25,24.4,24.4,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,20.8,20.8,20.1,26.6,28.1,25.6,25.6,25.6,26.3,26.3,26.3,26.3,26.3,23.9,23.9,23.9,23.3,24.9,27.8,25.4,24.6,26.8
Iceland,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,83.7,83.7,83.7,83.7,83.7,83.7,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,85.9,85.9,85.1,85.1,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.1,85.9,85.9,85.9,85.9,85.1,85.1,79
Israel,58.7,58.7,58.7,61.2,61.2,61.2,61.2,62.8,62.8,63.8,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,66.9,66.4,66.4,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,64.6,64.6,64.6,64.6,64.6,64.6,63.8,63.8,63.8,63.2,64.8,68.2
Italy,64,64,64,64,64,61.6,61.6,61.6,61.6,62,62,62,62,62,60.6,60.6,60.6,61.4,61.6,60,60,64.8,65.4,64.8,64.8,64.8,62.1,62.1,62.1,62.1,62.1,65.4,65.4,61.2,61.2,63.2,65.4,65.4,62.5,61.6,61.6,62.5,64.3,64.9,64.9,64.9,64.9
Jamaica,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,57.6,57.6,57.6,57.6,57.6,57.6,61.4,61.4,61.4,61.4,61.9,61.9,61.9,61.9,61.9,61.9,62.4,62.4,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.4,62.4,64,64,64,64.7,64.7,64.7,64.7,62.6,62.7
Jordan,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.9,48.9,48.9,48.9,48.9,48.9,50.2,50.2,50.6,50.6,50.6,50.6,50.6,51.2,51.2,50.8,50.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,49.6,48.7,46,46.7,47.5,47.7,48.3,49,48.3,48.3,48.8
Japan,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,71.7,70.8,70.8,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.7,71.7,71.7,71.7,71.7,72.8,70.7,70.7,70.7,70.7,70.7,70.7
Kazakhstan,,,,,,,,,,,,,,,,,31.1,31.7,31.7,31.7,31.7,31.7,31.7,31.7,32.5,31.8,31,31,31,31,31,31,31,31.2,31.2,31.2,31.2,31.2,30.3,30.3,30.3,30.3,30.3,30.3,32.4,32.4,33.1
Kenya,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,21,21.4,21.8,21.8,21.8,21.8,21.8,25.9,25.9,25.9,28.2,28.2,28.2,28.2,27.7,27.7,27.7,30.3,30.3,30.9,32,32.3,31.4,31.4,30.7,31.4,31.4,32.6,33.2,32.6,35.8,35.8,35.8,34.7,34.7,34.7,41.2,40.6,42.7
Kyrgyz Republic,,,,,,,,,,,,,,,,,44.4,39.3,37.2,30,26.9,26.9,25.9,25.9,25.9,24.3,24.9,24.3,24.3,24.3,18.7,18.7,18.7,18.7,18.7,30,30.9,30.5,31.9,31.9,27.4,28.5,28.3,28.3,34.6,33.9,30.7
Cambodia,63.9,63.9,63.9,63.9,64,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,40.6,40.6,45.8,20.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,16.2,23.5,23.5,23.5,19.1,14,14,14,14
South Korea,44.6,44.6,44.6,44.6,44.6,44.9,44.9,44.9,44.9,44.6,44.6,44.6,47.3,47.4,47.4,47.4,47.4,49.7,63,63,63,63,62.6,63,62.7,65.5,64.9,64.9,68.5,69.5,69.5,69.5,69.5,67.2,67.2,67.2,67.2,65.5,60.6,60.6,58.8,58.8,69.9,69.9,70.8,70.8,69.2
Kuwait,45.5,45.5,45.5,45.5,45.5,46.2,46.2,46.2,46.2,46.7,46.7,46.7,46.7,46.7,46.7,46.7,45.7,45.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.3,45.3,45.3,45.3,44.1,44.1,44.1,44.7,44.7,44.7,44.4,44.4,43.9,43.9,43.9,44.4,44.4,43.9,43.9,46.5,46.5,46.5
Lao,30.4,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35.4,35.4,35.4,35.4,35.4,35.4,35.4,37.3,37.3,37.3,40,38.9
Lebanon,31.3,42.4,42.4,42.4,42.4,42.4,42.4,41.6,26.9,28.1,28.1,28.1,28.1,28.1,26.1,27.2,27.2,28.1,28.1,29,29,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,34.6,34.6,34.6,34.6,34.6,34.6,35.4,34.6,34.6,34.6,34.6,35.4,35.9,35.9,34.5,33.8,31.9
Liberia,33.7,34,34,34,34,23.7,23.7,23.7,23.7,23,24,24,24,23.3,20,12.7,16,16,16,16.6,13.4,13.4,15.1,15.1,15.1,19,19.5,19,18,20.9,23.8,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,29.5,29.5,29.5,28.8
Libya,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,24.6,24.6,24.6,24.6,23.9,23.9,23.9,23.9,23.9,23.9,23.5,29.1,29.1,29.1,35,32.4,26.8,26.4,26.3,26.3,25
Sri Lanka,63.4,63.4,62.9,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,51.9,51.9,51.9,51.9,51.9,50,50,50,50.7,50.7,50.7,50.7,51.2,51.2,51.2,51.2,47.9,47.9,47.9,47.9,46.6,45.6,45.6,45.6,44.7,44.7,50.3,50.3,49.3,47,47,42.6,41
Lesotho,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,37.7,39.7,39.7,39.7,39.7,39.7,39.7,50.3,50.3,50.3,50.3,50.3,37.7,37.7,37.7,37.7,39.6,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,49.6,49.6,40.5,45,47.1,43.1,44.9,42.7,45.1
Lithuania,,,,,,,,,,,,,,,,,67.1,67.1,67.6,67.6,67.6,67.6,67.6,67.6,67.2,67.2,67.7,67.7,64.9,66.7,66.7,66.7,70,71.5,71.5,71.5,71.5,70,70,70,70.5,70.5,67.9,65.9,70.5,69.4,72.6
Luxembourg,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3
Latvia,,,,,,,,,,,,,,,,,59.1,59.1,59.1,57.2,57.6,58.2,59.1,59.1,61.7,60.4,59.9,61.2,62.6,62.6,63.6,63.6,65.1,65.1,66.8,68,68,68.6,70.6,72.3,72.7,68,68,67.3,70.2,68.9,68.9
Morocco,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,35.4,37,37,37,37,37,37,37,37.1,37.1,38.4,38.4,38.4,38.4,40.9,39.7,39.7,39.7,37.6,40.3,41.7,41.7,41.7,41.7,41.7
Moldova,,,,,,,,,,,,,,,,,39.5,37.1,37.1,34.8,34.8,34.8,34.8,35.5,35.5,35.5,34.8,34.1,34.1,34.1,34.1,34.1,34.1,34.1,36.3,39.3,39.9,41.4,38.4,38.4,32.3,26.4,32.7,28.7,34.8,34.9,42.2
Madagascar,43.1,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,37.5,37.5,37.5,37.5,37.5,37.5,37.7,40.5,40.5,40.5,40.5,40.5,30.7,27.9,27.9,27.9,27.9,37.5,37.9,37.9,37.9,37.9,37.9,37.9,17.7,17.7,17.7,17.3,23.5,36.6,36.6,36.6,35.7,38.3,31,31,31
Maldives,39.7,39.7,39.7,39.7,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,37,37,37,37,37,37,37,37,37,35.3,45.1,46.5,46.5,50.4,57.2,56.6,56.6,54.2,44.3,43.7,42.8,43.8,44.7,46.3,52.7,54.1,55.7
Mexico,28.4,28.4,28.4,28.4,28.4,28.4,28.4,34.2,36.5,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,42.4,45.3,44.6,46.4,47.1,46.4,50.9,52.4,51.7,46.8,46.8,46.8,47.1,47.1,47.1,47.1,46.4,46.4,44.5,36.9,36.3,36.3,36.3,36.7,37.3,44.8,45.4,47.2
North Macedonia,,,,,,,,,,,,,,,,,49.9,49.9,46,46,46,46,46,46,46,46,46,46,45.9,45.9,45.9,44.7,45.3,42.4,43.6,43.6,41.5,41.5,41.5,41.5,41.5,41.1,45.7,43.1,42.1,42.1,42.1
Mali,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,37.6,37.6,37.6,37.6,37.6,37.6,39.6,42,34.3,31.8,31.8,31.8,31.8,25.2,25.2,25.2,25.2,25.2,26.5,26.2,25.6,25.6,25.6,25.6,25.6,25.6,22,22,22.7,32.7,32.7,33.3,33.3,29.8,29.8,33,33.7,34.5
Malta,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.7,53.7,61.5,61.5,61.5,61.5,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.2,61.2,61.2,60.5,60.5,60.5,56.7,56.7,56
Myanmar,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,25,25,25,25,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,23.3,31.5,31.5,40.1,40.1,40.6,47.5,48,52.4,52,52,31.2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47,47,51.7,53
Mongolia,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.5,71.5,71.5,69.2,59.4,59.4,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.4,47.9,47.2,47.2,47.2,46.7,45.4,46,46,46,46,47.4,48,46.6,45.4,45.4,45.4,45.4,42.2,43.1,43.1,43.1,39.1
Mozambique,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.9,53.9,53.9,53.9,53.9,46.9,46.1,46.1,46.1,43.3,36.8,36.8,36.8,36.8,37.7,36.8,36.8,36.2,36.2,36.2,36.2,36.2,36.2,36.8,36.8,36.8,36.8,36.8,36.2,36.2,34.5,36.8,36.4,34.7,34.8,35.8,34.5
Mauritania,41,41,41,38.9,36,36,36,36,36,36,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,29,29,27.6,27.6,29,29,29,22.7,22.7,22.7,22.7,22.8,23.6,30.6,24.4,22.8
Mauritius,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.2,48.2,48.2,49.2,49.2,49.2,49.2,44.2,44.1,44.1,44.2,44.2
Malawi,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.4,68.4,68.4,68.4,68.4,68.4,68.4,65.8,65.8,65.8,36.6,34.7,34.7,34.7,34.7,34.7,34.7,33.9,33.9,33.9,33.9,35.9,35.9,35.2,35.2,35.2,31.7,31.7,31.7,28.1,31.5,31.5,28.1,33.5,33.5,30.1,36.4,39.5
Malaysia,47.8,47.8,47.8,47.8,47.8,47.8,44,40.3,40.3,41.1,41.1,41.1,41.6,41.6,41.6,41.6,39.8,39.8,39.8,39.8,38.6,38.6,38.6,38.3,38.3,38.3,37.7,37.1,36.1,36.1,38,38,38,38,38,37.4,38.2,38.2,41.4,41.4,41.4,41.4,43.9,53.3,53.3,48.4,48
Namibia,,,,,,,,,,,,,,,,54.2,54.2,54.6,54.8,54.8,54.8,54.6,54.2,54.2,54.2,54.2,53.7,53.4,53.4,53.4,53.4,53.4,53.4,53.7,53.7,53.7,54.2,54.2,54.2,54.2,54.2,54.8,54.8,54.8,50.2,48.8,48
Niger,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,60,60,33.5,33.5,33.5,33.3,40.4,38.9,38.9,38.9,38.9,38.4,38.6,38.6,38.6,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,41.9,45.5,45,41.7,41.7,41.7,41.7,41.1,41.1,42.5,42.5,42.5
Nigeria,21.4,22.8,22.8,22.8,14.4,14.4,14.4,14.4,14.4,19.3,20.2,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,14.1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17.2,21.9,23.3,19,19,16.6,14.7
Nicaragua,4.52,4.52,4.52,4.52,23.9,44.9,44.9,44.9,44.9,44.5,44.2,44.3,37.8,34.7,34.7,48.1,52.6,54.1,54.1,54.1,54.1,40.4,27,27,27,27,36.4,37.1,37.1,37.1,37.1,37.1,30.1,30.1,30.1,30.4,30.4,29.8,29.1,28.4,28.4,28.4,28.4,27.7,27.7,16.5,21.9
Netherlands,85.5,85.5,85.5,85.5,85.5,82.8,82.8,82.8,82.8,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.2,81.3,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2
Norway,88,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,100,100,100,100,100,100,100,100,100,100,100,100,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,90.6,88.3,88.3,88.3,88.3
Nepal,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31.4,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,33,30.5,31.9,31.9,31.9,31.9,31.9,30.9,30.9,30.9,31.3,31.3,31.3,31.3,37,37.5,36.9,36.9,38,39.9,36.6,38,39.4
New Zealand,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,91.8,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
Oman,51,51,51,51.7,51.7,52.5,52.5,52.5,51.7,51.7,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,50,50,50,50,50,50,49.3,49.3,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,50.8,50.8,50.8,50.8,51.5,51.5,51.5,51.5,51.5,51.5,51.5
Pakistan,40,40,40,40,40,42.3,42.3,42.3,42.3,41.5,42.1,42.1,42.1,33,32.2,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,29.2,29.3,37.6,36.9,34.8,34.8,34.8,34.8,34.8,34.8,25.8,25.8,25.8,25.8,25.8,29.3,34.9,34.3,33.3,31.1,30,33.2,34.2,34.2
Panama,43.3,43.3,43.3,43.3,43.3,38.4,37.3,15.1,15.1,16,16,16,16,19.1,19.1,30.9,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46.5,47.6
Peru,47.4,47.4,47.4,47.4,47.4,51.6,51.6,51.6,51.6,51,48.4,46.1,46.1,46.1,46.1,39,39,39,38.4,38.4,38.4,38.4,38.4,38.4,38.4,40,53.1,48.2,48.2,48.2,48.2,47.5,47.2,47.2,47.2,47.2,51.3,51.9,47.8,47.8,49.2,49.2,51,52.1,50.6,51.4,51.9
Philippines,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,22.6,22.6,40,40.5,37.7,37.7,37.7,40.3,42.9,43.9,43.9,43.9,43.9,43.9,43.3,43.4,41.8,40.9,41.5,41.5,37.5,37.5,37.5,37.5,37.5,37.5,43.6,43.6,43.6,43.6,43.6,43.6,44.8,43.9,43.9,42.5,42.5,42.1
Papua New Guinea,34,34,34,34,34,34,34,34,34,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.7,34.5,34,33.4,33.4,33.4,33.4,34.2,34.2,34.2,34.2,34.2,32.5,31,30.5,30.5,30.5,30.5,30.5,30.5,30.5,31.5,31.5,21.1
Poland,56.9,56,56,56,56,54.7,56,58.4,57.2,57.2,57.1,57.1,57.1,57.1,58.1,67.4,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,66.8,66.8,66.4,66.4,66.4,66.4,66.4,68,68,66.4,66.4,66.4,66.4,66.4,66.8,65.6,70.5,69.7,69.7,66,66,66,63.5
North Korea,23,23,23,23,23,23,23,23,23,23,24.6,24.6,24.6,24.6,24.6,23,23,22.8,22.8,18.2,20.6,20.2,20.2,20.2,20.2,20.2,19.3,19.3,19.3,19.3,19.3,19.3,17.5,17.5,17.5,17.5,17.5,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1
Portugal,67.5,67.5,67.5,67.5,67.5,66.5,66.5,66.5,66.5,66.2,66.8,67.7,67.7,68.2,68.2,68.2,68.2,68.2,68.2,68.2,67.7,70.3,71.7,71.7,71.7,71.7,71.2,70.5,70.5,70.5,71.2,71.2,71.2,71.2,71.2,71.2,71.2,70.5,70.5,70.5,75.5,69.2,73.2,69.2,72.6,66.1,66.1
Paraguay,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.45,4.45,0,0,0,0,8.71,9.98,13.5,13,13,13,13,13,13,13,22,21.3,21.3,30.6,32,32,32,32,37.4,37.4,37.4,37.4,32.1,31.7,32.5,31.1,31.1,31.7,33.6,37,36.3,36.3
Palestine,,,,,,,,,,,,,,46.3,46.3,46.3,46.3,46.3,46.2,52.3,50.8,49.7,49.9,49.9,49.9,49.9,49.9,49.9,49.9,51.8,51.8,51.8,51.8,51.8,51.8,52.6,52.6,52.6,56.4,56.4,49.1,49.1,38.7,38.7,40.4,50.3,31.5
Qatar,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44,44,44,44,44,46.2,46.2,46.2,46.2,46.2,46.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.8,47.8,48.1,48.1,47.8,47.8,47.8,47.8,47.4
Romania,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,35.8,35.8,35.8,35.8,35.8,35,41.6,42,42,42,42,42,41.6,41.6,41.6,41.6,33.8,33.6,33.6,33.6,36.1,37.6,39.1,40,40,41.5,41.5,41.5,41.5,46.2,47.9,47.9,54,46.6,46,51.5,53,57.4
Russia,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,42.3,42.6,42.6,42.6,42.6,42.6,43,35.5,31,31,26.1,26.1,25.4,25.4,25.4,24.4,27.5,28.4,28.4,28.4,32.3,33.2,33.2,33.2,33.2,33.2,33.2,33.2,32.3,34.6,34.6,34.6,34.6,33.5,33.5,33.5,34.1,34.1
Rwanda,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48.8,48.8,48.8,48.8,49.7,48.1,48.1,48.1,48.1,48.1,48.9,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,52
Saudi Arabia,33.6,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,36.1,36.1,36.1,36.1,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,36.1,36.1,36.1,39,41,43,43.4
Sudan,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46,50.6,51.6,51.6,51.6,41.2,24.3,24.3,24.3,24.3,24.3,24.3,23.4,23.4,23.4,23.4,21.2,21.2,21.2,21.2,21.2,29.4,29.4,29.4,29.4,29.4,30.4,28,27.7,26.5,26.5,26.5,26.5,35.6,34.4,43.5,39.9,56.8
Senegal,53.1,53.1,53.1,53.1,53.1,53.1,53.5,53.5,53.5,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,54.5,64,64,55.2,56,52.1,52.1,54.6,55.1,55.1
Singapore,85.8,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,91.7,91.7,91.7,91.7,90.6,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,90.6,90.6,90.6,90.6
Solomon Islands,,,,66.2,68,61.2,60.8,60.8,57.9,57.9,60.5,60.5,60.5,60.5,57.9,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,50.1,44.3,44.3,44.3,44.3,40.4,37.3,37.3,37.3,37.7,37.3,37.3,37.3,37.3,37.3,36.8,36.8,36.8,37.3,37.3,38.2,37.3,38.1
Sierra Leone,35.8,35.8,35.8,35.8,25.2,25.2,25.2,25.2,25.8,25.8,26,26,26,26,26,26,25.4,28.4,28.4,28.4,28.4,33.1,36.7,36.7,36.7,36.7,36.7,36.2,36.2,36.2,35.6,35.6,32.3,32.3,32.3,33.8,33.8,33.2,30.8,31.5,31.5,31.5,32.9,37.9,39.6,41.9,46.6
El Salvador,26.9,26.9,26.9,26.9,28.2,35.7,35.7,35.7,35.7,30.8,30.8,30.8,30.8,30.8,35.7,35.7,35.7,38,40.3,40.9,40.9,40.9,40.9,41.2,41.2,41.2,40.9,40.1,40.1,35.6,34.4,34.4,35.1,36,39.4,39.4,39.4,39.4,45.9,47.4,47.4,46.6,44.5,37.4,42.9,33.2,31.7
Somalia,45.3,45.3,43.5,42.2,42.2,42.2,42.2,42.2,42.2,42.2,43,43,43,43,43,43,33.7,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,12.5,13.6,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.8,17.4,17.4,17.4,17.4,19.2,16.9,23.7,19.2,16.8
Serbia,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,34,34,34,34,34,31.7,23.5,22.2,21.3,23.1,23.1,23.1,23.1,23.1,22.6,21.9,24.2,40.4,42.7,42.7,43.2,43.2,43.2,43.2,43.2,43.2,42.7,42.7,42.7,42.1,42.1,42.1,40.3,41.1,41.1,39.1,37.9,37.7
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,24.6,14.7,14.7,14.7,10.9,15.3,13.6,9.65,11.4,28.8
Suriname,62.7,62.7,62.7,62.7,62.7,55.6,55.6,55.6,55.6,55.6,55.6,55,55,55,53.9,54.5,54.5,54.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,55.8,55.8,55.8,55.8,55.8,55.8,55.8,55.8,55.8,54.5,54.5,54.5,52.5,52.5,52.5,52.5,51.1,51.7,51.7,57.6,57.6
Slovak Republic,,,,,,,,,,,,,,,,,,,54.1,51.9,51.9,51.5,51.5,54.7,57.8,57.8,57.3,56.8,56.8,56.8,56.8,55.3,55.3,55.3,55.3,58.8,58.8,55.3,57.3,57.3,57.8,57.8,57.8,57.8,56.6,59.6,59.9
Slovenia,,,,,,,,,,,,,,,,,64.5,64.5,64.5,63.7,63.7,66.7,66.7,66.7,68.4,68.4,67.8,67.8,67.8,65,65,65,65,65.6,66.1,66.1,66.1,65.6,68.1,71.6,70.1,70.1,68.4,70.4,68.4,62.4,53.1
